probe,f,T,b,mu_real,mu_imag
R29.5x19x14.9,124927.0,30.137,0.0466474688118236,4044.549129714949,459.2182168613886
R29.5x19x14.9,123927.0,30.125,0.0539311774288157,4115.524657528959,503.9894827829673
R29.5x19x14.9,122527.0,30.123,0.0611880320124708,4161.065846408128,552.8366788210059
R29.5x19x14.9,121927.0,30.131,0.0674194525649443,4209.612529530894,587.889203929553
R29.5x19x14.9,120927.0,30.137,0.074504980717887,4261.330680167725,623.6509663281075
R29.5x19x14.9,120127.0,30.131,0.0811815234876772,4345.346434934082,667.8671216548454
R29.5x19x14.9,119527.0,30.129,0.0871512549683979,4390.455344610639,707.4652317987737
R29.5x19x14.9,119027.0,30.137,0.092842299646604,4422.422559134419,739.7802121523312
R29.5x19x14.9,118427.0,30.135,0.0995194066382816,4479.77779230456,775.9683194827248
R29.5x19x14.9,117827.0,30.146,0.1051256506567726,4510.611129690925,805.7912062017646
R29.5x19x14.9,117327.0,30.127,0.1106976115456602,4547.013163636599,832.0488065838797
R29.5x19x14.9,117027.0,30.135,0.1157242066706095,4577.154069793678,855.6126270468262
R29.5x19x14.9,116527.0,30.12,0.1205964854352303,4577.526319620621,886.6648153329187
R29.5x19x14.9,116227.0,30.133,0.1256051260455884,4625.713705911566,917.7265020794144
R29.5x19x14.9,115827.0,30.131,0.130626747527123,4640.457324177186,940.8918728796572
R29.5x19x14.9,115427.0,30.139,0.1357178261793233,4686.631683150639,968.0608288201374
R29.5x19x14.9,115027.0,30.142,0.1403408855985964,4692.689481324934,994.4945574769232
R29.5x19x14.9,114827.0,30.135,0.1445271237354893,4717.042112216301,1018.9245095044952
R29.5x19x14.9,114727.0,30.131,0.1485538561076972,4740.638897916344,1042.0173243409874
R29.5x19x14.9,114327.0,30.131,0.1532576277711697,4755.635159393096,1066.577130087015
R29.5x19x14.9,114127.0,30.14,0.1573863541393663,4766.536597798948,1086.0723918795018
R29.5x19x14.9,114027.0,30.146,0.16113663628621,4777.930477389268,1103.8280417500582
R29.5x19x14.9,113827.0,30.142,0.1646470622827673,4790.647513667475,1127.0965678083082
R29.5x19x14.9,113627.0,30.146,0.1689236016671166,4818.558524896538,1146.9139848982852
R29.5x19x14.9,113327.0,30.144,0.1724853317332545,4812.56805466424,1161.7642495373202
R29.5x19x14.9,113227.0,30.162,0.1760194178945335,4831.951881399966,1181.4533651704728
R29.5x19x14.9,113127.0,30.16,0.1796019538191928,4841.382126702732,1191.2475022763142
R29.5x19x14.9,113127.0,30.17,0.181313007677992,4808.064974061242,1207.2375783274151
R29.5x19x14.9,112827.0,30.168,0.1852217709911252,4812.126057967865,1217.7911939664432
R29.5x19x14.9,112327.0,30.168,0.1897401578693384,4836.945977518633,1227.1081601901874
R29.5x19x14.9,112327.0,30.155,0.1911002090043881,4815.641170869487,1241.7854575462788
R29.5x19x14.9,112327.0,30.164,0.1948609162127366,4838.0263547239065,1250.651094532679
R29.5x19x14.9,112327.0,30.172,0.1968172169858331,4821.001536391806,1259.0241662033125
R29.5x19x14.9,112227.0,30.178,0.1994126741916224,4805.564624622938,1272.78858038233
R29.5x19x14.9,112227.0,30.17,0.2024990875930973,4832.252568733727,1283.237380836141
R29.5x19x14.9,112127.0,30.17,0.2037386761306791,4793.983417085455,1289.0830094768137
R29.5x19x14.9,112027.0,30.181,0.2079931295450347,4834.959606321342,1297.9558581413442
R29.5x19x14.9,112027.0,30.178,0.2099843549541087,4829.831231612055,1304.5984934404369
R29.5x19x14.9,111927.0,30.178,0.2106210070012461,4780.97711863395,1307.954506802822
R29.5x19x14.9,111927.0,30.174,0.2124973230263304,4791.6428818772165,1316.4336034319383
R29.5x19x14.9,111927.0,30.178,0.2138661571521862,4780.952385663065,1322.1630728169291
R29.5x19x14.9,111927.0,30.197,0.2165203725117402,4781.312603172656,1322.6281353591526
R29.5x19x14.9,111827.0,30.189,0.2175425919780033,4760.438081370152,1331.1130109952385
R29.5x19x14.9,111827.0,30.179,0.2197898889434008,4766.299712763162,1333.53909819402
R29.5x19x14.9,111827.0,30.198,0.2225293000528952,4795.769778170549,1338.458860856949
R29.5x19x14.9,111727.0,30.191,0.2245951115374172,4778.567813109566,1336.312475986189
R29.5x19x14.9,111727.0,30.193,0.2273126679811034,4779.517240663781,1345.3133260292743
R29.5x19x14.9,111727.0,30.187,0.2280039103563657,4756.903014363719,1342.979858683329
R29.5x19x14.9,111627.0,30.21,0.2320185974440752,4759.593952034188,1353.7939405306245
R29.5x19x14.9,111627.0,30.21,0.2327125786642514,4751.575159484672,1357.284410073931
R29.5x19x14.9,111627.0,30.202,0.2346064900832253,4779.482435097796,1363.5430085513967
R29.5x19x14.9,111627.0,30.21,0.2363375925235087,4778.254480926186,1361.9157488169149
R29.5x19x14.9,111627.0,30.198,0.2369284904369108,4764.839255477902,1361.3003512920045
R29.5x19x14.9,111627.0,30.212,0.2377981395541003,4772.199405806083,1367.7143782504547
R29.5x19x14.9,111627.0,30.204,0.2397253051721067,4788.935574290781,1371.138504091488
R29.5x19x14.9,111627.0,30.221,0.2395833624967749,4775.514593524396,1378.921498625335
R29.5x19x14.9,111627.0,30.219,0.2428830645633728,4799.6609927032405,1377.8076584649075
R29.5x19x14.9,111527.0,30.219,0.2447054071916203,4811.40033556095,1383.8481126943784
R29.5x19x14.9,158357.5,30.182,0.0374925358025815,3967.2662674747576,449.3309709588504
R29.5x19x14.9,157107.5,30.169,0.0456002403594457,4063.136216461656,498.5153085684101
R29.5x19x14.9,155757.5,30.164,0.0522964944225489,4061.664046822805,548.9740111815536
R29.5x19x14.9,154207.5,30.169,0.0599288534872887,4131.269793923738,600.2163454410501
R29.5x19x14.9,153307.5,30.169,0.0664528937435125,4202.630401764365,649.10436949463
R29.5x19x14.9,152557.5,30.158,0.0725301230162623,4240.337779704838,684.7770273568007
R29.5x19x14.9,151807.5,30.164,0.0788104790441872,4302.15878938804,721.095674046907
R29.5x19x14.9,150757.5,30.158,0.0847597177804326,4356.787027541563,764.0262767652547
R29.5x19x14.9,150007.5,30.16,0.0910724870833747,4381.137377101596,806.8999335532357
R29.5x19x14.9,149257.5,30.162,0.0969664237370395,4427.737346361427,855.9489626614683
R29.5x19x14.9,148657.5,30.164,0.1024667461957509,4466.407617334652,889.2628279341411
R29.5x19x14.9,147857.5,30.156,0.1079334709199918,4497.37669858915,920.6534407971373
R29.5x19x14.9,147557.5,30.162,0.1127595619364417,4526.505878102744,950.5139135809776
R29.5x19x14.9,147107.5,30.164,0.1178197626526219,4562.873739174295,976.4962964217124
R29.5x19x14.9,146807.5,30.15,0.1222659118229032,4570.132065861708,997.5648245395809
