probe,f,T,b,mu_real,mu_imag
MH8,109644.0,89.681,0.1499989330768585,3637.287064274554,647.3645418298833
MH8,109244.0,89.684,0.159080222249031,3650.1239977127216,686.0224461806488
MH8,109244.0,89.665,0.1671547591686248,3650.554966562776,722.4339514554471
MH8,109044.0,89.646,0.1766806095838546,3657.4617789933327,757.2999373464036
MH8,108844.0,89.665,0.1861356794834137,3645.320277187089,787.1665213463682
MH8,108844.0,89.658,0.2074358612298965,3667.559493437241,848.2326571759673
MH8,108844.0,89.636,0.2157318443059921,3599.466337427616,863.2553476107996
MH8,108844.0,89.627,0.2268235236406326,3550.2921412116298,875.355337450208
MH8,108844.0,89.67,0.2406074851751327,3474.149305929579,868.0289629552515
MH8,108844.0,89.681,0.2595977485179901,3361.24768159454,828.7935641297345
MH8,110444.0,89.679,0.2666525840759277,3249.627517847715,804.0911228132165
MH8,80391.6,90.04,0.0102331452071666,3027.052330535537,62.676207486096
MH8,78991.6,90.076,0.0214748065918684,3111.4593289994377,94.64407589883744
MH8,77791.6,90.084,0.0345846302807331,3223.163015611379,125.90690228947494
MH8,76991.6,90.062,0.0471212901175022,3282.634805491188,154.44536544448053
MH8,76191.6,90.062,0.0606913194060325,3352.8371867425826,189.28861464604623
MH8,75791.6,90.054,0.0731332823634147,3446.239325294688,223.8063802092221
MH8,75391.6,90.02,0.0847798362374305,3494.92939513115,260.3041388602164
MH8,74991.6,90.013,0.0954064130783081,3539.7787802057323,305.49938293531136
MH8,74591.6,89.984,0.1061598286032676,3581.306878002877,350.1702669577678
MH8,74191.6,89.965,0.1164351105690002,3613.045140676904,396.83939723764274
MH8,73391.6,89.921,0.1303487718105316,3688.838589475773,439.23523816297615
MH8,73391.6,89.919,0.1366573423147201,3684.5550661453126,487.5558541959996
MH8,73391.6,89.912,0.1443111896514892,3698.630748990516,520.5078242067261
MH8,73391.6,89.889,0.1520016193389892,3715.3473306434025,554.8522791263368
MH8,72991.6,89.908,0.1627335548400879,3737.3029014483272,604.9635357867737
MH8,72591.6,89.886,0.1735978424549102,3751.535646173953,647.9865043233558
MH8,72591.6,89.868,0.1818690747022628,3737.897636382496,672.0861889329589
MH8,72591.6,89.863,0.1913154125213623,3751.9782129633054,704.4635329317169
MH8,72591.6,89.856,0.200409933924675,3746.82088143239,733.3143728090511
MH8,72591.6,89.836,0.2111374586820602,3740.110075995223,754.675616211658
MH8,72591.6,89.831,0.2194053679704666,3637.9734173470697,763.4307116860051
MH8,72591.6,89.818,0.2363316416740417,3643.704683696297,764.2978906688107
MH8,72591.6,89.811,0.2487228512763977,3473.132815659665,747.6448337588639
MH8,73391.6,89.816,0.261764258146286,3497.5622575177204,744.23723784905
MH8,547949.2000000001,70.144,0.007553294301033,3012.366979075728,566.2759543158953
MH8,539749.2000000001,70.091,0.0135134235024452,3149.319530398756,634.3460784283249
MH8,539749.2000000001,70.088,0.0188101381063461,3215.3456203983174,706.8513222156706
MH8,536949.2000000001,70.081,0.0243941731750965,3238.0998132406085,740.7364056755
MH8,536949.2000000001,70.066,0.0298787578940391,3195.568476470359,774.604272838636
MH8,536949.2000000001,70.056,0.0357243195176124,3218.450051627682,830.4764683301155
MH8,536949.2000000001,70.061,0.0415930487215518,3196.786189426124,866.4853030148704
MH8,536149.2000000001,70.06,0.0476353988051414,3162.575755684777,899.2542101608883
MH8,536149.2000000001,70.058,0.0544238314032554,3183.120587385805,935.9025255036726
MH8,536149.2000000001,70.05,0.0600753985345363,3115.752617624971,971.3941780270184
MH8,536149.2000000001,70.053,0.0670832321047782,3118.771144547903,1005.957526067872
MH8,536949.2000000001,70.041,0.073971502482891,3065.942934712868,1043.070967058207
MH8,537749.2000000001,70.043,0.080455794930458,3046.755359926977,1081.2955180851254
MH8,538549.2000000001,70.043,0.0874112993478775,3012.8413655390773,1092.2898120288446
MH8,538549.2000000001,70.033,0.0950991883873939,2978.9261122236203,1119.538748224652
MH8,538549.2000000001,70.037,0.1031158044934272,2961.424099120425,1143.6114293389962
MH8,538549.2000000001,70.047,0.1117284148931503,2945.3078824509166,1167.2250442675645
MH8,538549.2000000001,70.036,0.1206789165735244,2927.8676526424697,1182.57912663913
MH8,538749.2000000001,70.048,0.1294052749872207,2900.2666958854247,1207.12263726728
MH8,538949.2000000001,70.063,0.1391214579343795,2850.784449983485,1210.7769124516744
MH8,541549.2000000001,70.102,0.1485387980937957,2836.927735798719,1235.3331227649137
MH8,544549.2000000001,70.149,0.1576569527387619,2788.7625600264987,1251.873146896031
MH8,546549.2000000001,70.203,0.1671761870384216,2744.1196148061704,1255.581770154669
MH8,546549.2000000001,70.235,0.1791478246450424,2710.466199063912,1271.494760370447
MH8,546549.2000000001,70.235,0.1885833144187927,2661.5966570390847,1277.9286252005052
MH8,569549.2000000001,70.793,0.1873469054698944,2513.581022327599,1293.2125289461178
MH8,578949.2000000001,71.007,0.1908443868160247,2430.145283020281,1295.0519183390377
MH8,587949.2000000001,71.219,0.1951604187488556,2395.185571743885,1308.5242983309122
MH8,598149.2000000001,71.464,0.1987172663211822,2385.8176837793603,1320.5987675301262
MH8,598149.2000000001,71.49,0.207231655716896,2415.5361586772674,1309.503133779879
MH8,457159.2,69.948,0.0075586158782243,2970.2298164821245,382.7949928447424
MH8,452559.2,69.938,0.0147278057411313,3164.5396288337743,479.10169065277086
MH8,449359.2,69.901,0.0215077921748161,3217.730028972533,530.635461686492
MH8,447959.2,69.894,0.0281917806714773,3257.2487602741803,582.2147395140283
MH8,447359.2,69.904,0.0352291613817215,3282.7193565041125,632.4711186386348
MH8,447359.2,69.921,0.0413687638938427,3243.5481196230767,677.2925696278044
MH8,447359.2,69.924,0.0481890551745891,3248.620161750036,724.9213615593583
MH8,447359.2,69.916,0.0550891421735286,3226.1051363350057,774.88406654388
MH8,447359.2,69.916,0.0622310601174831,3237.432278922376,821.6366700549133
MH8,447359.2,69.911,0.0693735629320144,3219.1708315606893,862.7517405856524
MH8,447359.2,69.902,0.0759495571255683,3173.137775837787,905.8404453933604
MH8,447359.2,69.882,0.084783561527729,3172.659249941793,943.6251651332
MH8,447359.2,69.897,0.0915108993649482,3117.909933508747,969.2044257384936
MH8,447359.2,69.894,0.0998082906007766,3114.4267515536644,1025.2482000772302
MH8,447359.2,69.909,0.1080564334988594,3097.851512182592,1045.212349492183
MH8,447359.2,69.914,0.1170041263103485,3074.666042963604,1071.1340733925551
MH8,447359.2,69.911,0.1268063187599182,3061.453593040376,1100.551635908501
MH8,447359.2,69.929,0.1367803514003753,3044.428303703712,1125.2001167383178
MH8,447359.2,69.933,0.1467559188604354,3007.571017463212,1133.5279519468722
MH8,447359.2,69.938,0.1566189676523208,2978.409961025351,1162.2786157019318
MH8,447359.2,69.941,0.1675950735807418,2972.0696537999947,1191.2381028668456
MH8,447359.2,69.938,0.1788148134946823,2940.873255529382,1205.124314125003
MH8,447359.2,69.956,0.1899958401918411,2907.3327179462126,1223.6537076995469
MH8,451559.2,70.059,0.1994362622499466,2825.7192687103216,1239.0678588197818
