probe,f,T,b,mu_real,mu_imag,h_offset
AT2,137930.0,88.022,0.1112528246733998,1668.2199155711726,199.3557848798619,0
AT2,136430.0,88.03,0.1236355422931816,1716.034176367218,235.09407268724067,0
AT2,134930.0,88.1,0.1352654967324511,1748.8495509046288,267.4722626563098,0
AT2,133430.0,88.096,0.1463722532106457,1777.9384473231307,300.98890215615035,0
AT2,132830.0,88.101,0.1537590008119053,1783.0748207774725,329.469193439142,0
AT2,131930.0,88.112,0.1640321949694508,1806.655985400452,362.9423020537595,0
AT2,129530.0,88.108,0.1769501156608059,1826.6729339003232,394.6225165882734,0
AT2,129530.0,88.15,0.1842012370093524,1832.9132298695663,412.4048046678,0
AT2,129530.0,88.154,0.1914576686722215,1843.6493564523248,433.16122222617366,0
AT2,129530.0,88.17,0.1990169783298465,1842.217287511374,451.782610451012,0
AT2,129530.0,88.195,0.2064025801216422,1851.047500799011,468.9984569239217,0
AT2,129530.0,88.212,0.213397440194453,1841.678685619376,479.2865219644359,0
AT2,129530.0,88.207,0.2207080917109431,1838.695310872948,489.789675996696,0
AT2,289490.0,88.248,0.0104071829637651,1323.0751592142822,23.227848494917616,0
AT2,281090.0,88.256,0.0333879392665576,1452.919043673989,69.94991392032763,0
AT2,275090.0,88.269,0.0528075247432268,1529.1023432995098,113.00148233418132,0
AT2,270290.0,88.281,0.0704103130898068,1581.7882183975298,153.76858155243397,0
AT2,266990.0,88.325,0.0842152638230334,1602.7773393710024,185.0352290021285,0
AT2,263390.0,88.327,0.0980638436137246,1662.892192610306,227.6998768921985,0
AT2,261890.0,88.331,0.1086940891871164,1686.4467524833317,259.0845835591253,0
AT2,260690.0,88.344,0.117631121782626,1703.111915271543,289.0448063117479,0
AT2,258890.0,88.334,0.1269440867861978,1732.499145724168,323.717826871025,0
AT2,256190.0,88.334,0.1363844745848793,1746.2682334114531,364.5259048422095,0
AT2,253790.0,88.33,0.1460174135928423,1772.2647736910387,408.16560908156777,0
AT2,253790.0,88.334,0.1520273012382181,1773.7151174755425,433.52240871454273,0
AT2,253790.0,88.35,0.1584728243684897,1786.2134717141869,459.1414830614754,0
AT2,488840.0,88.392,0.0102301922198055,1315.6683691782468,31.00348259827167,0
AT2,476840.0,88.379,0.0305521261732547,1453.912471496424,79.83378690319023,0
AT2,468740.0,88.406,0.0462881932137144,1490.6285001637316,123.21664403598216,0
AT2,462440.0,88.418,0.0609017456242743,1536.3063724102062,160.22051327499392,0
AT2,458540.0,88.406,0.0721786272167119,1559.3419098700235,193.2638845516808,0
AT2,454940.0,88.436,0.0829209862313103,1589.9064467284384,225.88646597243067,0
AT2,451940.0,88.405,0.09282753645902,1615.8617857696524,262.3532020384856,0
AT2,448340.0,88.425,0.1020410190201719,1657.6341335910377,301.9556001563167,0
AT2,448340.0,88.42,0.1083256882880041,1662.440938219956,331.4093272171721,0
AT2,445040.0,88.443,0.1160100607102913,1677.8270048416036,368.1366188688,0
AT2,445040.0,88.452,0.1224615683517559,1686.3367853350146,399.47531065365416,0
AT2,668290.0,88.451,0.0103829528280444,1353.8972589059306,42.74691702559738,0
AT2,654790.0,88.461,0.0278099114279843,1453.4178545387429,93.22707921947216,0
AT2,645190.0,88.504,0.0412592054428929,1481.9402869433309,135.12816830502115,0
AT2,639790.0,88.486,0.0524752683564265,1502.7663207131773,170.85576865846645,0
AT2,634990.0,88.486,0.0628124528466935,1540.2845640056098,204.7405396172739,0
AT2,630190.0,88.475,0.0723116470961015,1562.8295700607666,241.5380356162007,0
AT2,628090.0,88.466,0.0797560192657315,1575.7156040048346,272.45136378618,0
AT2,625690.0,88.473,0.0870192561981957,1590.1130947984334,303.7281836083325,0
AT2,623890.0,88.493,0.0936895801272188,1605.7990360188662,334.74346340829817,0
AT2,622690.0,88.53,0.099674529889146,1631.530105021336,364.8421072695167,0
AT2,899210.0,88.542,0.0102181143695525,1385.800623775596,73.07314760401795,0
AT2,884210.0,88.529,0.0238028855726759,1437.3615841640967,123.97731757573064,0
