probe,f,T,eps_real,eps_imag
W7A,602178.0,30,79407.91828111446,21301.947710434084
W7A,607406.0,30,79341.65949924449,21251.964372763574
W7A,612680.0,30,79283.09478752779,21196.53738699585
W7A,618000.0,30,79208.05190035411,21150.4065391646
W7A,623366.0,30,79148.7645999724,21097.13830799584
W7A,628779.0,30,79088.08405297883,21048.73759280859
W7A,634239.0,30,79011.46985702883,21005.16494430626
W7A,639746.0,30,78959.5551687891,20960.823464855494
W7A,645301.0,30,78893.8339985656,20914.78406390204
W7A,650904.0,30,78834.6892750189,20866.268682552083
W7A,656556.0,30,78774.48206509693,20830.472920902666
W7A,662257.0,30,78704.83243360872,20784.868026861568
W7A,668007.0,30,78650.63004509972,20741.187672887878
W7A,673807.0,30,78594.43530100887,20702.16261699935
W7A,679658.0,30,78532.19312037641,20653.671162467108
W7A,685559.0,30,78479.34115191236,20613.41314475277
W7A,691512.0,30,78421.86507192346,20576.517033829106
W7A,697516.0,30,78356.17041807617,20530.19427303563
W7A,703573.0,30,78307.94911503592,20492.73220368165
W7A,709682.0,30,78247.98102809073,20462.739266171473
W7A,715844.0,30,78190.72616545933,20421.23281467225
W7A,722060.0,30,78139.68514637729,20380.370792529782
W7A,728330.0,30,78080.9721640113,20346.282762238094
W7A,734654.0,30,78027.80201140542,20308.28794453467
W7A,741033.0,30,77982.76423401151,20277.820082016424
W7A,747467.0,30,77912.35756094159,20237.592008363572
W7A,753957.0,30,77870.26714269219,20208.525260283353
W7A,760504.0,30,77818.46476355153,20175.512537435014
W7A,767107.0,30,77769.64446113528,20142.141939229405
W7A,773768.0,30,77724.28848124339,20112.30160992103
W7A,780487.0,30,77676.72252573585,20081.623824008264
W7A,787264.0,30,77633.41479944598,20047.156375569393
W7A,794099.0,30,77578.89369396561,20024.26751806578
W7A,800995.0,30,77524.50903650069,19994.066968700077
W7A,807950.0,30,77482.34069277476,19963.866195297778
W7A,814965.0,30,77417.1088883043,19942.736169745756
W7A,822041.0,30,77385.9855664718,19909.516084642946
W7A,829179.0,30,77344.87839444992,19892.031845991165
W7A,836379.0,30,77300.36791775384,19866.488816432055
W7A,843641.0,30,77251.57389359945,19838.138491463167
W7A,850966.0,30,77206.0957123382,19815.687375880516
W7A,858355.0,30,77168.52098686981,19797.57383930684
W7A,865808.0,30,77117.02111121213,19780.48836027979
W7A,873326.0,30,77082.28233943268,19762.831617537948
