f,T,eps_real,eps_imag
724942.0,30,94684.52232915224,50532.19425788528
731032.0,30,94551.44766785786,50367.92028835798
737174.0,30,94424.05097365154,50213.34605955889
743367.0,30,94295.12110855864,50045.17919292615
749612.0,30,94164.33645245331,49884.386826832946
755910.0,30,94030.6785432431,49743.40448496557
762260.0,30,93906.81994990933,49568.43662912341
768664.0,30,93774.37493943225,49404.812288600726
775122.0,30,93642.08794054552,49253.29666383029
781634.0,30,93512.17392090817,49102.27599633502
788201.0,30,93374.12289127335,48963.900980326885
794823.0,30,93256.04081841515,48799.51268661256
801501.0,30,93134.96238846346,48663.70552394044
808234.0,30,92996.83947939369,48511.80684796519
815024.0,30,92882.46330885643,48355.05272051131
821872.0,30,92754.71688739596,48224.98415577021
828777.0,30,92605.1677135423,48088.32004791662
835739.0,30,92487.13124031808,47947.73845393214
842761.0,30,92360.62238247939,47819.585748308615
849841.0,30,92240.98877893775,47667.85674755563
856981.0,30,92109.02001941206,47539.78876819814
864180.0,30,91987.6136665017,47412.69495817072
871441.0,30,91873.75183443908,47277.92754882676
878762.0,30,91745.30396488943,47149.87196439001
886145.0,30,91616.32721090478,47024.37868686346
893590.0,30,91494.9123402776,46899.12824628625
901097.0,30,91380.78122257307,46769.35490910791
908667.0,30,91252.02954019791,46650.411650200585
916301.0,30,91131.40573473569,46527.57210415207
923999.0,30,91011.49934596654,46407.89537108707
931762.0,30,90892.66276697346,46293.94247426492
939590.0,30,90768.24240083026,46177.31369913166
947484.0,30,90647.82352244182,46069.06063510648
955444.0,30,90522.43253951399,45949.48587266595
963471.0,30,90408.08002505708,45849.57530783958
971566.0,30,90292.93330161873,45743.24453772881
979728.0,30,90169.06240611331,45622.56012499526
987959.0,30,90055.02937468125,45514.139543157
996259.0,30,89937.26511301182,45422.10998552593
100651.0,45,132786.33039417482,231830.79344012897
101497.0,45,132607.9174539049,230146.31172343195
102350.0,45,132441.70387746804,228507.01797569072
103210.0,45,132306.7103401496,226860.0546813194
104077.0,45,132128.10402959562,225234.8209803235
104951.0,45,131954.06582223435,223635.84066125544
105833.0,45,131812.13585900707,222032.24640254382
106722.0,45,131652.83882092455,220422.6259152137
107618.0,45,131489.13963197437,218851.11589143996
108523.0,45,131309.74978786593,217299.76413300965
109434.0,45,131169.1662278358,215736.22688170947
110354.0,45,130998.61642873481,214203.0884781314
111281.0,45,130821.83325093327,212690.2731170714
112216.0,45,130639.71384695754,211192.1438049797
113159.0,45,130507.63302833428,209687.22682500025
114109.0,45,130355.85224432687,208193.08979916153
115068.0,45,130179.25333485167,206729.9479626086
116035.0,45,130014.29872225317,205262.30230694206
117009.0,45,129852.22149995933,203853.06802191696
117992.0,45,129680.32926039866,202393.14497174288
118984.0,45,129506.09778171952,200953.35721989334
119983.0,45,129366.57373971256,199551.5219541947
120991.0,45,129200.78173790628,198133.121733174
122008.0,45,129026.84867668657,196752.9630025226
123033.0,45,128863.62525481175,195371.84020517804
124067.0,45,128694.67866762973,194007.24895230337
125109.0,45,128531.97448404155,192654.89988947165
126160.0,45,128371.33857162877,191312.82991400812
127220.0,45,128198.48481878861,189998.40097088853
128289.0,45,128044.63726599881,188664.01093297193
129366.0,45,127881.37167484916,187360.29004984055
130453.0,45,127705.52418458476,186049.80714341797
131549.0,45,127544.04102716912,184769.68042918656
132654.0,45,127389.41883977946,183480.61897733485
133769.0,45,127212.17563011931,182221.50462322385
134893.0,45,127066.93503709062,180969.11261468727
136026.0,45,126882.76580171911,179719.9104097994
137169.0,45,126722.2014566403,178475.0570880307
138321.0,45,126552.83275491935,177259.49501224625
139483.0,45,126382.81558865105,176032.61223306326
140655.0,45,126232.1616677813,174832.18763496386
141837.0,45,126068.30071313205,173646.20111751257
143028.0,45,125886.33665937377,172452.3716985028
144230.0,45,125727.5660917582,171290.76801732625
145442.0,45,125562.6137477472,170121.17930631584
146664.0,45,125389.21302090393,168954.35604554566
147896.0,45,125234.07035016503,167797.31994352402
149138.0,45,125051.79731083474,166675.1027643416
150391.0,45,124897.5027038582,165546.11768037162
151655.0,45,124727.76825704858,164425.23837693434
152929.0,45,124563.89883537806,163321.22456759668
154214.0,45,124398.94163051393,162222.42482217817
