probe,f,T,eps_real,eps_imag
SY4,314864.0,112,100051.41128651294,73015.46471096069
SY4,317598.0,112,99836.5073438979,72677.1966393619
SY4,320355.0,112,99624.4854070212,72341.84943306743
SY4,323137.0,112,99407.05395734595,72007.36929064085
SY4,325943.0,112,99216.2995087485,71657.65772649263
SY4,328773.0,112,98990.01259833711,71338.97169646517
SY4,331628.0,112,98776.42726997836,71012.57575333772
SY4,334507.0,112,98569.78225221601,70690.1033435858
SY4,337412.0,112,98360.60162688665,70362.42374044347
SY4,340341.0,112,98158.76435535854,70040.2665481339
SY4,343297.0,112,97947.84482459057,69710.87677940028
SY4,346278.0,112,97732.97792178688,69400.54435554473
SY4,349284.0,112,97532.60108280781,69083.5130158449
SY4,352317.0,112,97325.17006335806,68769.38592931583
SY4,355376.0,112,97119.28984265984,68455.55836882541
SY4,358462.0,112,96910.65058139962,68152.6589859988
SY4,361574.0,112,96704.21118339096,67835.33501008913
SY4,364714.0,112,96498.41834455816,67536.7973590131
SY4,367881.0,112,96300.77662150619,67237.08905000924
SY4,371075.0,112,96093.90479217851,66934.85616789285
SY4,374297.0,112,95885.79201928113,66637.39779983953
SY4,377547.0,112,95678.65352314286,66337.54708567211
SY4,380825.0,112,95478.21517044073,66036.34475104671
SY4,384132.0,112,95272.43396023742,65745.64863323457
SY4,387468.0,112,95072.58592791736,65451.33332924096
SY4,390832.0,112,94873.18861182677,65164.073295488306
SY4,394225.0,112,94661.65666989743,64872.505162476744
SY4,397649.0,112,94467.15844595502,64593.93180643616
SY4,401101.0,112,94264.95865083883,64317.902028035845
SY4,404584.0,112,94064.11382016768,64027.47542272251
SY4,408097.0,112,93868.8826949159,63736.00280576994
SY4,411641.0,112,93674.5829455373,63461.81057883698
SY4,415215.0,112,93463.490779273,63187.752771458785
SY4,418820.0,112,93272.02802356856,62906.85611427645
SY4,422457.0,112,93077.21940191933,62629.04119368719
SY4,426125.0,112,92877.50055007674,62369.21592650205
SY4,429825.0,112,92672.7792330018,62095.48387288478
SY4,433557.0,112,92483.36777060678,61810.354492870574
SY4,437322.0,112,92289.71508363244,61559.36348636411
SY4,441119.0,112,92090.09474124425,61290.44508698189
SY4,444949.0,112,91895.85815279534,61023.79444522451
SY4,448813.0,112,91704.54178600619,60771.825164926304
SY4,452710.0,112,91513.19088105884,60499.16222523601
SY4,456641.0,112,91319.32436458055,60250.82409201743
SY4,460606.0,112,91122.3185808048,59981.46843990672
SY4,464605.0,112,90931.08861017146,59732.15121559069
SY4,468639.0,112,90741.77376135613,59478.87482255662
SY4,472708.0,112,90550.36104243709,59230.12163912752
SY4,476813.0,112,90359.19079782622,58973.88017480828
SY4,480953.0,112,90167.74478206156,58720.653265423636
SY4,485129.0,112,89980.01563635153,58475.69008924427
SY4,489341.0,112,89787.78124859474,58234.257821213374
SY4,493590.0,112,89602.43745001275,57985.49612720101
SY4,497876.0,112,89403.04201488095,57740.52170922682
SY4,502199.0,112,89220.92017578865,57503.14695301606
SY4,506560.0,112,89026.341269612,57257.29680335281
SY4,510958.0,112,88839.90364796529,57015.59460686469
SY4,515395.0,112,88647.51708389321,56777.72692618226
SY4,519870.0,112,88461.17068120252,56536.30404536533
SY4,524384.0,112,88267.30323488057,56303.754876886574
SY4,528937.0,112,88087.19011300619,56067.59802151571
SY4,533530.0,112,87900.93584840167,55836.799881324296
SY4,538163.0,112,87705.65360629222,55607.3215302886
SY4,542836.0,112,87525.19271788238,55376.25438626595
SY4,547549.0,112,87334.98544574148,55147.75633231908
SY4,552303.0,112,87151.01171247881,54918.678048759095
SY4,557099.0,112,86971.14835673822,54695.97022710408
SY4,561936.0,112,86784.92565332515,54466.468797662674
SY4,566816.0,112,86602.94629314645,54240.44839863729
SY4,571737.0,112,86422.1934636478,54008.24291168271
SY4,576702.0,112,86234.80345447359,53794.28485329866
SY4,581709.0,112,86052.02458506881,53574.96300727677
SY4,586760.0,112,85875.98791949848,53363.09392464964
SY4,591855.0,112,85683.88713137202,53131.851019976326
SY4,596994.0,112,85510.0847084049,52919.58038800243
SY4,602178.0,112,85330.1972105284,52709.43953910064
SY4,607406.0,112,85150.65559506808,52492.64687416391
