f,p_v,T,b
54317.49824945833,272040.16370769177,80.0,0.2
59442.40680253094,302346.2505111923,80.0,0.2
64601.25630857822,340494.4926197734,80.0,0.2
70207.82873934596,373463.1073885495,80.0,0.2
76832.00536004514,415068.0130619035,80.0,0.2
82922.94140558687,455257.2605301738,80.0,0.2
88878.18571994697,499337.8596835593,80.0,0.2
96591.688741837,554965.588742363,80.0,0.2
104974.62632055026,616790.412974764,80.0,0.2
114085.09691337663,685502.707293426,80.0,0.2
124849.13627071783,771995.3401595624,80.0,0.2
134746.6796291465,857997.9269537411,80.0,0.2
144423.72899737247,941074.1697102844,80.0,0.2
158050.2476673971,1073898.6656427719,80.0,0.2
171767.01127049714,1193534.184661585,80.0,0.2
185384.017301769,1326497.457842693,80.0,0.2
198697.66846146173,1474273.2368089147,80.0,0.2
215942.1143702622,1660288.2188928635,80.0,0.2
226684.427628878,1845249.2856515972,80.0,0.2
242964.13413600792,2078071.807448071,80.0,0.2
256825.7435970688,2309575.21386455,80.0,0.2
271478.1867239066,2566868.7912416067,80.0,0.2
286966.5822228791,2852825.641657827,80.0,0.2
303338.6229164336,3255477.356084464,80.0,0.2
