f,T,b,mu_real,mu_imag,h_offset
200000,25,0.025,3917.5523526744655,307.3512228059409,0
200000,25,0.05,4238.963313390949,464.8048561389953,0
200000,25,0.1,4695.994780980095,870.7722773706354,0
200000,25,0.2,4758.293152312618,2530.158339112127,0
200000,30,0.025,3943.917609585072,282.6697403428773,0
200000,30,0.05,4261.314861389814,423.5388243132803,0
200000,30,0.1,4719.229681540205,784.8447800970363,0
200000,30,0.2,5001.2861418442135,1997.02007167176,0
200000,40,0.025,3993.652072851736,272.2694004923933,0
200000,40,0.05,4299.452129569514,401.8756756922226,0
200000,40,0.1,4744.370258609569,729.001161973846,0
200000,40,0.2,5097.818310796649,1711.4575419521848,0
200000,50,0.025,4043.1498133937953,264.7760658047663,0
200000,50,0.05,4336.223781933444,393.8708033506129,0
200000,50,0.1,4764.938233696437,699.8210088200786,0
200000,50,0.2,5148.431617786844,1525.2864293362188,0
200000,60,0.025,4091.287124130444,277.6612695728424,0
200000,60,0.05,4371.1052917992565,406.40211896578006,0
200000,60,0.1,4780.840946382107,701.6778979997655,0
200000,60,0.2,5163.305043357498,1445.4267081867376,0
200000,70,0.025,4138.665711943084,300.8515125526056,0
200000,70,0.05,4404.253812839342,436.5785129130433,0
200000,70,0.1,4794.586936578955,718.085362596858,0
200000,70,0.2,5156.739908267992,1439.8831692685703,0
200000,80,0.025,4185.7079373198,327.1605529306497,0
200000,80,0.05,4436.187383357008,476.6521489902317,0
200000,80,0.1,4803.049217301767,768.0230408248278,0
200000,80,0.2,5144.425090699528,1454.8179783822193,0
200000,90,0.025,4232.303632718331,357.3379934006057,0
200000,90,0.05,4467.012422631865,523.6737027815772,0
200000,90,0.1,4809.690103176587,825.8118566385724,0
200000,90,0.2,5120.549056638081,1509.3307199524718,0
200000,100,0.025,4278.14885144042,393.9625160786253,0
200000,100,0.05,4496.9595886799125,574.3187113836669,0
200000,100,0.1,4815.039899268659,887.0907829170997,0
200000,100,0.2,5098.857150467178,1554.469935558638,0
200000,110,0.025,4322.511256910223,442.8545270663576,0
200000,110,0.05,4525.021080191605,635.0591907958076,0
200000,110,0.1,4820.26900753349,945.2583787784566,0
200000,110,0.2,5083.294651104952,1578.4732583988896,0
200000,120,0.025,4369.52436634223,463.3791215605608,0
200000,120,0.05,4557.512705002653,661.3602325910026,0
200000,120,0.1,4831.922488773854,968.7679962202852,0
200000,120,0.2,5077.441327058686,1570.9600192003547,0
300000,25,0.025,3877.653980782933,636.7737552881927,0
300000,25,0.05,4171.526728162254,884.9962049594851,0
300000,25,0.1,4521.049121997723,1539.7162655869934,0
300000,30,0.025,3917.126207171827,538.9903249487784,0
300000,30,0.05,4215.519595351835,753.3817258250082,0
300000,30,0.1,4605.059186839538,1296.356433115681,0
300000,40,0.025,3971.903148245137,497.3659481687787,0
300000,40,0.05,4262.357895120474,692.1689440281784,0
300000,40,0.1,4654.511233170606,1173.0375208094956,0
300000,50,0.025,4022.754088720909,484.3720886349097,0
300000,50,0.05,4302.240595899036,669.8483050180491,0
